taxon,aoo,eoo
"Exostyles godoyensis",44,32464
"Exostyles venusta",284,555712
"Galactia benthamiana",44,2881525
"Galactia glaucescens",500,4365843
"Galactia striata",624,6238196
"Gleditsia amorphoides",112,159934
"Goniorrhachis marginata",556,1010579
"Grazielodendron rio-docensis",84,35120
"Gwilymia coriacea",408,2729501
"Gwilymia occhioniana",44,1227540
"Gwilymia paniculata",68,1550736
"Gwilymia racemifera",96,2236131
"Harleyodendron unifoliolatum",100,544801926
"Harpalyce lanata",32,1047
"Harpalyce parvifolia",60,2265
"Heterostemon impar",12,38905
"Hymenaea altissima",120,479152
"Hymenaea aurea",164,3554001
"Hymenaea cangaceira",120,324046
"Hymenaea courbaril",2464,8057090
"Hymenaea fariana",92,300948
"Hymenaea longifolia",228,2338307
"Hymenaea maranhensis",76,198947
"Hymenaea martiana",928,4854374
"Hymenaea oblongifolia",300,5315444
"Hymenaea parvifolia",496,3926981
"Hymenaea reticulata",76,729649
"Hymenaea velutina",412,904997
"Hymenolobium alagoanum",200,397802
"Hymenolobium excelsum",100,937900
"Hymenolobium grazielanum",20,85536
"Hymenolobium heringerianum",52,57725
"Hymenolobium heterocarpum",80,219834
"Hymenolobium janeirense",324,1051927
"Hymenolobium modestum",84,493566
"Hymenolobium sericeum",44,773104
"Indigofera bongardiana",184,1873832
"Indigofera guaranitica",48,3239231
"Inga aptera",76,19201
"Inga arenicola",4,4
"Inga barbata",276,2770761
"Inga bicoloriflora",52,88352
"Inga blanchetiana",140,560954
"Inga bollandii",96,1097224
"Inga bullata",108,57469
"Inga bullatorugosa",32,797444
"Inga cabelo",60,14329
"Inga calantha",36,1098884
"Inga caudata",16,16
"Inga conchifolia",16,4232
"Inga congesta",72,234601
"Inga cordistipula",56,36863
"Inga duckei",52,3573233
"Inga edwallii",148,460408
"Inga enterolobioides",4,4
"Inga exfoliata",112,75221
"Inga exilis",20,9007
"Inga globularis",28,49984
"Inga grazielae",92,45915
"Inga hispida",216,265404
"Inga lanceifolia",164,1585408
"Inga laurina",2456,7538646
"Inga lenticellata",124,573147
"Inga lentiscifolia",216,234506
"Inga leptantha",248,3108196
"Inga leptocarpa",12,34101
"Inga maritima",256,39289
"Inga mendoncaei",36,3173
"Inga micradenia",48,2367109
"Inga microcalyx",28,205778
"Inga peduncularis",8,8
"Inga pedunculata",24,5094
"Inga platyptera",56,41454
"Inga pleiogyna",232,47025
"Inga praegnans",16,5660
"Inga retinocarpa",16,1846
"Inga salicifoliola",8,8
"Inga santaremnensis",16,30093
"Inga schinifolia",96,176674
"Inga sellowiana",332,2959320
"Inga sessilis",1516,2353046
"Inga suberosa",16,492
"Inga suborbicularis",64,93520
"Inga unica",88,36722
"Inga virescens",408,5760765
"Inga vulpina",340,1181508
"Inga xinguensis",12,77118
"Jacqueshuberia purpurea",28,46158
"Jacqueshuberia quinquangulata",8,8
"Jupunba barnebyana",28,3127
"Jupunba brachystachya",424,643230
